Year,Month,Running Month,Longitude,Latitude,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1,R-Median,R-S5,R-Mean,R-Observation number,R-Standard deviation,R-Mean day of the month,R-Fraction of daylight observations,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations
2001,6,24018,-179.9,-50.3,13.9,14.4,16.43,14.8,9.0,1.71,8.0,0.6,12.44,14.18,16.18,14.09,9.0,1.99,8.0,0.6,-5.82,-2.59,1.83,-1.93,9.0,4.22,8.0,0.6,1006.26,1009.0,1011.55,1008.81,11.0,2.48,8.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,6,24018,-179.9,20.6,6.08,8.2,10.32,8.2,2.0,4.38,12.0,1.0,-9.5,-6.01,-2.51,-6.01,2.0,7.24,12.0,1.0,-0.85,1.53,3.91,1.53,2.0,4.94,12.0,1.0,1014.58,1014.75,1014.92,1014.75,2.0,0.35,12.0,1.0,4.2,4.5,4.8,4.5,2.0,0.7,12.0,1.0,72.3,81.7,91.0,81.7,2.0,19.4,12.0,1.0,-106.5,-65.1,-23.8,-65.1,2.0,85.7,12.0,1.0,-14.6,1.7,18.0,1.7,2.0,33.8,12.0,1.0,-3.38,-2.25,-1.12,-2.25,2.0,2.33,12.0,1.0,-17.8,-13.3,-8.9,-13.3,2.0,9.3,12.0,1.0,0.75,1.78,2.8,1.78,2.0,2.13,12.0,1.0,5.2,9.9,14.6,9.9,2.0,9.7,12.0,1.0,-264.6,-168.2,-71.9,-168.2,2.0,199.6,12.0,1.0,-21.5,49.6,120.6,49.6,2.0,147.2,12.0,1.0,-211.1,-132.1,-53.2,-132.1,2.0,163.6,12.0,1.0,-21.9,24.8,71.6,24.8,2.0,96.9,12.0,1.0,-3.0,-2.9,-2.9,-2.9,2.0,0.0,12.0,1.0,2.2,8.0,13.8,8.0,2.0,12.0,12.0,1.0,340.5,788.0,1235.0,788.0,2.0,926.5,12.0,1.0,340.0,790.0,1235.0,790.0,2.0,925.0,12.0,1.0,26.78,26.95,27.12,26.95,2.0,0.35,12.0,1.0,28.24,29.2,30.16,29.2,2.0,1.98,12.0,1.0,19.16,20.42,21.68,20.42,2.0,2.61,12.0,1.0
2001,6,24018,-179.9,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-36.4,-36.4,-36.4,-36.4,1.0,0.0,8.0,1.0,13.3,13.3,13.3,13.3,1.0,0.0,8.0,1.0,73.0,165.5,258.0,165.5,2.0,191.5,4.0,1.0,75.0,165.0,260.0,165.0,2.0,190.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2001,6,24018,-179.9,25.6,3.67,4.9,6.13,4.9,2.0,2.55,4.0,1.0,-5.54,-3.92,-2.3,-3.92,2.0,3.36,4.0,1.0,-1.89,-0.2,1.5,-0.2,2.0,3.52,4.0,1.0,1018.31,1019.4,1020.49,1019.4,2.0,2.26,4.0,1.0,2.5,3.5,4.5,3.5,2.0,2.1,4.0,1.0,83.4,83.4,83.4,83.4,1.0,0.0,8.0,1.0,-36.3,-23.5,-10.7,-23.5,2.0,26.4,4.0,1.0,-4.6,3.5,11.6,3.5,2.0,16.7,4.0,1.0,0.32,1.0,1.68,1.0,2.0,1.41,4.0,1.0,2.1,6.7,11.3,6.7,2.0,9.5,4.0,1.0,5.78,5.78,5.78,5.78,1.0,0.0,8.0,1.0,38.8,38.8,38.8,38.8,1.0,0.0,8.0,1.0,-139.1,-99.6,-60.2,-99.6,2.0,81.7,4.0,1.0,-51.9,-7.6,36.7,-7.6,2.0,91.8,4.0,1.0,-102.9,-102.9,-102.9,-102.9,1.0,0.0,8.0,1.0,37.4,37.4,37.4,37.4,1.0,0.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,27.0,27.0,27.0,2.0,0.0,4.0,1.0,25.32,26.0,26.68,26.0,2.0,1.41,4.0,1.0,16.34,16.34,16.34,16.34,1.0,0.0,8.0,1.0
2001,6,24018,-179.9,39.8,10.3,10.3,10.3,10.3,1.0,0.0,24.0,0.0,9.68,9.68,9.68,9.68,1.0,0.0,24.0,0.0,-3.52,-3.52,-3.52,-3.52,1.0,0.0,24.0,0.0,1008.6,1008.6,1008.6,1008.6,1.0,0.0,24.0,0.0,8.0,8.0,8.0,8.0,1.0,0.0,24.0,0.0,95.0,95.0,95.0,95.0,1.0,0.0,24.0,0.0,99.7,99.7,99.7,99.7,1.0,0.0,24.0,0.0,-36.3,-36.3,-36.3,-36.3,1.0,0.0,24.0,0.0,-0.5,-0.5,-0.5,-0.5,1.0,0.0,24.0,0.0,-5.1,-5.1,-5.1,-5.1,1.0,0.0,24.0,0.0,0.22,0.22,0.22,0.22,1.0,0.0,24.0,0.0,2.2,2.2,2.2,2.2,1.0,0.0,24.0,0.0,159.7,159.7,159.7,159.7,1.0,0.0,24.0,0.0,-58.1,-58.1,-58.1,-58.1,1.0,0.0,24.0,0.0,107.6,107.6,107.6,107.6,1.0,0.0,24.0,0.0,-39.2,-39.2,-39.2,-39.2,1.0,0.0,24.0,0.0,2.1,2.1,2.1,2.1,1.0,0.0,24.0,0.0,-0.8,-0.8,-0.8,-0.8,1.0,0.0,24.0,0.0,1092.5,1092.5,1092.5,1092.5,1.0,0.0,24.0,0.0,1095.0,1095.0,1095.0,1095.0,1.0,0.0,24.0,0.0,16.0,16.0,16.0,16.0,1.0,0.0,24.0,0.0,16.5,16.5,16.5,16.5,1.0,0.0,24.0,0.0,11.12,11.12,11.12,11.12,1.0,0.0,24.0,0.0
2001,6,24018,-179.9,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,8.0,1.0,0.0,12.0,1.0,87.4,94.9,100.0,92.8,8.0,8.2,14.0,0.9,-289.0,-32.2,-1.4,-113.9,8.0,146.8,14.0,0.9,-20.0,0.0,35.4,10.6,8.0,37.7,14.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,6,24018,-179.8,-36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,19.2,19.2,19.2,1.0,0.0,2.0,0.0,33.2,33.2,33.2,33.2,1.0,0.0,2.0,0.0,402.5,621.0,839.5,621.0,2.0,453.0,14.0,0.5,400.0,620.0,840.0,620.0,2.0,455.0,14.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2001,6,24018,-179.8,-36.1,7.19,8.25,9.31,8.25,2.0,2.19,14.0,0.5,3.35,3.35,3.35,3.35,2.0,0.0,14.0,0.5,6.34,7.51,8.67,7.51,2.0,2.41,14.0,0.5,1014.16,1016.45,1018.74,1016.45,2.0,4.74,14.0,0.5,4.3,5.0,5.7,5.0,2.0,1.4,14.0,0.5,70.4,70.4,70.4,70.4,1.0,0.0,2.0,0.0,24.1,27.6,31.2,27.6,2.0,7.4,14.0,0.5,47.0,64.6,82.1,64.6,2.0,36.3,14.0,0.5,0.6,1.9,3.2,1.9,2.0,2.69,14.0,0.5,4.0,12.7,21.4,12.7,2.0,18.0,14.0,0.5,5.72,5.72,5.72,5.72,1.0,0.0,2.0,0.0,38.4,38.4,38.4,38.4,1.0,0.0,2.0,0.0,49.1,52.3,55.5,52.3,2.0,6.7,14.0,0.5,94.2,119.5,144.8,119.5,2.0,52.4,14.0,0.5,23.5,23.5,23.5,23.5,1.0,0.0,2.0,0.0,40.7,40.7,40.7,40.7,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.16,17.5,17.84,17.5,2.0,0.71,14.0,0.5,14.64,15.6,16.56,15.6,2.0,1.98,14.0,0.5,7.01,7.01,7.01,7.01,1.0,0.0,2.0,0.0
2001,6,24018,-179.8,7.9,7.7,7.7,7.7,7.7,1.0,0.0,26.0,1.0,-7.24,-7.24,-7.24,-7.24,1.0,0.0,26.0,1.0,2.63,2.63,2.63,2.63,1.0,0.0,26.0,1.0,1006.9,1006.9,1006.9,1006.9,1.0,0.0,26.0,1.0,5.0,5.0,5.0,5.0,1.0,0.0,26.0,1.0,80.0,80.0,80.0,80.0,1.0,0.0,26.0,1.0,-55.7,-55.7,-55.7,-55.7,1.0,0.0,26.0,1.0,20.3,20.3,20.3,20.3,1.0,0.0,26.0,1.0,-0.6,-0.6,-0.6,-0.6,1.0,0.0,26.0,1.0,-4.6,-4.6,-4.6,-4.6,1.0,0.0,26.0,1.0,4.2,4.2,4.2,4.2,1.0,0.0,26.0,1.0,32.3,32.3,32.3,32.3,1.0,0.0,26.0,1.0,-208.4,-208.4,-208.4,-208.4,1.0,0.0,26.0,1.0,75.8,75.8,75.8,75.8,1.0,0.0,26.0,1.0,-144.0,-144.0,-144.0,-144.0,1.0,0.0,26.0,1.0,52.4,52.4,52.4,52.4,1.0,0.0,26.0,1.0,-30.4,-30.4,-30.4,-30.4,1.0,0.0,26.0,1.0,11.0,11.0,11.0,11.0,1.0,0.0,26.0,1.0,456.5,456.5,456.5,456.5,1.0,0.0,26.0,1.0,455.0,455.0,455.0,455.0,1.0,0.0,26.0,1.0,28.2,28.2,28.2,28.2,1.0,0.0,26.0,1.0,28.8,28.8,28.8,28.8,1.0,0.0,26.0,1.0,19.9,19.9,19.9,19.9,1.0,0.0,26.0,1.0
2001,6,24018,-179.8,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,1.0,0.0,12.0,1.0,77.2,86.4,95.7,86.4,2.0,19.2,8.0,0.5,-52.0,-44.2,-36.5,-44.2,2.0,16.1,8.0,0.5,-65.4,-12.0,41.4,-12.0,2.0,110.7,8.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
