Year,Month,Running Month,Longitude,Latitude,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1,R-Median,R-S5,R-Mean,R-Observation number,R-Standard deviation,R-Mean day of the month,R-Fraction of daylight observations,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations
1974,8,23696,-179.9,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,2.0,0.0,6.0,1.0,-32.5,-32.5,-32.5,-32.5,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,8,23696,-179.9,22.3,55.0,55.0,55.0,55.0,1.0,0.0,28.0,1.0,46.1,46.1,46.1,46.1,1.0,0.0,28.0,1.0,34.9,34.9,34.9,34.9,1.0,0.0,28.0,1.0,29.3,29.3,29.3,29.3,1.0,0.0,28.0,1.0,28.8,28.8,28.8,28.8,1.0,0.0,28.0,1.0,27.6,27.6,27.6,27.6,1.0,0.0,28.0,1.0,17.55,17.55,17.55,17.55,1.0,0.0,28.0,1.0,76.0,76.0,76.0,76.0,1.0,0.0,28.0,1.0,2.6,2.6,2.6,2.6,1.0,0.0,28.0,1.0,1.99,1.99,1.99,1.99,1.0,0.0,28.0,1.0,1.67,1.67,1.67,1.67,1.0,0.0,28.0,1.0,1010.9,1010.9,1010.9,1010.9,1.0,0.0,28.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,28.0,1.0,5.2,5.2,5.2,5.2,1.0,0.0,28.0,1.0,4.3,4.3,4.3,4.3,1.0,0.0,28.0,1.0,1.2,1.2,1.2,1.2,1.0,0.0,28.0,1.0,3.1,3.1,3.1,3.1,1.0,0.0,28.0,1.0,7.31,7.31,7.31,7.31,1.0,0.0,28.0,1.0,19.0,19.0,19.0,19.0,1.0,0.0,28.0,1.0,14.6,14.6,14.6,14.6,1.0,0.0,28.0,1.0,12.2,12.2,12.2,12.2,1.0,0.0,28.0,1.0,17.5,17.5,17.5,17.5,1.0,0.0,28.0,1.0,20.0,20.0,20.0,20.0,1.0,0.0,28.0,1.0
1974,8,23696,-179.9,59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,1.0,0.0,28.0,0.0,-87.9,-52.2,-16.6,-52.2,2.0,73.9,24.0,0.5,2.9,9.2,15.5,9.2,2.0,13.0,24.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,8,23696,-179.8,-36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.5,6.0,4.8,4.0,1.7,16.0,0.8,41.3,75.6,129.4,83.1,5.0,58.0,14.0,0.6,-92.4,63.8,94.6,0.7,5.0,162.5,14.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,27.9,31.4,23.9,4.0,11.8,16.0,0.8,17.7,29.0,42.6,30.1,4.0,14.5,16.0,0.8,622.5,1443.0,3311.0,2029.0,5.0,2228.0,14.0,0.6,625.0,1445.0,3310.0,2030.0,5.0,2230.0,14.0,0.6
1974,8,23696,-179.8,18.8,-132.0,-132.0,-132.0,-132.0,1.0,0.0,22.0,1.0,-110.8,-110.8,-110.8,-110.8,1.0,0.0,22.0,1.0,-88.9,-88.9,-88.9,-88.9,1.0,0.0,22.0,1.0,-74.6,-74.6,-74.6,-74.6,1.0,0.0,22.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,6.2,6.2,6.2,1.0,0.0,22.0,1.0,-4.75,-4.75,-4.75,-4.75,1.0,0.0,22.0,1.0,-3.99,-3.99,-3.99,-3.99,1.0,0.0,22.0,1.0,1013.48,1013.65,1013.82,1013.65,2.0,0.35,14.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.4,-11.4,-11.4,-11.4,1.0,0.0,22.0,1.0,-9.6,-9.6,-9.6,-9.6,1.0,0.0,22.0,1.0,238.5,238.5,238.5,238.5,1.0,0.0,22.0,1.0,240.0,240.0,240.0,240.0,1.0,0.0,22.0,1.0
1974,8,23696,-179.8,28.6,-97.2,28.5,144.1,23.7,4.0,146.6,22.0,0.8,-67.2,82.4,196.3,65.4,4.0,158.0,22.0,0.8,-79.5,-27.8,37.7,-21.1,3.0,86.0,22.0,0.7,-57.0,-4.9,82.7,12.4,3.0,103.4,22.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,8,23696,-179.7,-47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,1018.0,1018.0,1018.0,1018.0,1.0,0.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,8,23696,-179.7,-43.5,41.7,47.3,52.9,47.3,2.0,11.6,30.0,0.0,54.5,71.4,88.3,71.4,2.0,35.0,30.0,0.0,27.4,36.3,45.3,36.3,2.0,18.5,30.0,0.0,36.9,56.7,76.4,56.7,2.0,41.0,30.0,0.0,10.48,11.5,12.52,11.5,2.0,2.12,30.0,0.0,6.3,6.95,7.6,6.95,2.0,1.34,30.0,0.0,4.8,5.02,5.24,5.02,2.0,0.46,30.0,0.0,74.9,81.8,88.8,81.8,2.0,14.4,30.0,0.0,9.41,13.1,16.79,13.1,2.0,7.64,30.0,0.0,5.63,7.1,8.57,7.1,2.0,3.04,30.0,0.0,7.51,10.96,14.41,10.96,2.0,7.16,30.0,0.0,1010.42,1013.9,1017.38,1013.9,2.0,7.21,30.0,0.0,3.6,5.0,6.4,5.0,2.0,2.8,30.0,0.0,59.2,104.6,150.0,104.6,2.0,94.1,30.0,0.0,85.2,170.9,256.6,170.9,2.0,177.5,30.0,0.0,4.17,4.55,4.93,4.55,2.0,0.78,30.0,0.0,44.8,56.6,68.5,56.6,2.0,24.6,30.0,0.0,2.65,3.41,4.18,3.41,2.0,1.59,30.0,0.0,36.1,38.7,41.2,38.7,2.0,5.3,30.0,0.0,21.4,21.8,22.3,21.8,2.0,0.9,30.0,0.0,28.3,31.7,35.1,31.7,2.0,7.0,30.0,0.0,1389.0,3394.0,5399.0,3394.0,2.0,4154.5,30.0,0.0,1390.0,3395.0,5400.0,3395.0,2.0,4155.0,30.0,0.0
1974,8,23696,-179.7,-36.3,62.5,95.1,135.7,97.5,5.0,53.6,14.0,0.6,-38.5,97.2,126.8,42.8,5.0,141.3,14.0,0.6,23.8,41.4,65.4,44.5,4.0,30.3,16.0,0.8,37.2,47.0,63.8,50.3,4.0,19.9,16.0,0.8,15.63,16.1,16.74,16.18,5.0,0.89,14.0,0.6,13.7,14.5,15.87,14.78,5.0,1.55,14.0,0.6,6.63,7.5,8.18,7.41,4.0,1.07,16.0,0.8,64.8,70.1,72.6,68.6,5.0,6.7,14.0,0.6,7.72,11.3,14.38,11.1,5.0,4.99,14.0,0.6,4.42,6.3,9.29,6.53,5.0,3.29,14.0,0.6,-3.25,5.65,8.66,2.41,5.0,10.37,14.0,0.6,995.83,1003.75,1012.35,1004.08,4.0,12.2,16.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.31,1.9,2.37,1.4,5.0,1.47,14.0,0.6,2.5,12.3,28.0,14.3,5.0,17.1,14.0,0.6,3.62,4.54,5.04,4.34,4.0,0.97,16.0,0.8,26.5,42.8,52.1,39.5,4.0,15.7,16.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,8,23696,-179.7,-20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,22.8,22.8,22.8,1.0,0.0,20.0,0.0,21.56,22.55,23.54,22.55,2.0,2.05,12.0,0.0,12.92,13.59,14.27,13.59,2.0,1.4,12.0,0.0,78.8,79.9,80.9,79.9,2.0,2.2,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.7,1.7,1.7,1.0,0.0,20.0,0.0,7.0,7.0,7.0,7.0,1.0,0.0,20.0,0.0,4.62,4.62,4.62,4.62,1.0,0.0,20.0,0.0,18.9,18.9,18.9,18.9,1.0,0.0,20.0,0.0,-12.2,-12.2,-12.2,-12.2,1.0,0.0,20.0,0.0,14.5,14.5,14.5,14.5,1.0,0.0,20.0,0.0,105.5,185.0,264.0,185.0,2.0,164.0,12.0,0.0,105.0,185.0,265.0,185.0,2.0,165.0,12.0,0.0
